date,hour,history_count,source,weight,mae_Q,mae_A,mae_F,rmse_Q,rmse_A,rmse_F
2025-01-05,18,4,A,0.0,4.4523799172346745,0.0009020833333333334,0.0032219311235636436,29.41070716564342,0.005088788056982614,0.034864148689723595
2025-01-06,0,5,A,0.0,224.98785421109253,95.03672726851853,95.56372221513496,565.9906154928624,189.50621699856222,192.01262875844628
2025-01-06,6,5,A,0.03,298.0708595077471,102.49948660493828,101.93814955544505,653.1573520433103,175.1396803514573,179.3673787766265
2025-01-06,12,5,A,0.0,228.68749505197303,38.066932962962966,42.35797650992373,579.5943717309267,81.06873754281432,91.99852644397185
2025-01-06,18,5,A,0.0,3.561950973463031,0.000853888888888889,0.002624584574142223,26.305736202119757,0.0048444641946590265,0.031189036883835328
2025-01-07,0,6,A,0.0,198.3112814244681,88.86118395061729,90.31540119603727,518.9467989343012,179.51557093029123,182.54102697252506
2025-01-07,6,6,A,0.04,262.8209127192618,99.37546712962964,99.37715553047634,598.8715816889329,169.5860120686904,174.1016435183232
2025-01-07,12,6,A,0.0,201.4678403472873,39.166217168209876,40.41906189675879,531.2667274543826,80.75398016374731,87.05386931830634
2025-01-07,18,6,A,0.0,2.9683220002900446,0.0008212962962962963,0.0022166762159709203,24.013741852909888,0.00467229818936788,0.028474467263705647
2025-01-08,0,7,A,0.0,183.75007959734114,98.70192318121696,100.67330158531736,487.57430828742616,208.24963472750605,215.63844390049107
2025-01-08,6,7,A,0.04,243.63369900664824,92.40365586419753,91.89534247046264,562.6770253612226,160.62299752983762,163.8945007963039
2025-01-08,12,7,F,0.0,192.5943608229728,38.825043386243394,37.91390634997368,503.45019979133707,79.09054970290617,82.21358817562997
2025-01-08,18,7,A,0.0,2.544302485485266,0.000790873015873016,0.001926493421773655,22.232404881681596,0.004513546629270952,0.026365192629154145
2025-01-09,0,8,F,0.06,170.61884976223507,122.53823220486113,122.60092643272573,460.8237007682971,281.64736903151766,275.56420566259175
2025-01-09,6,8,A,0.04,226.29617781614414,87.25095142746915,87.36750004811898,531.8122249860553,153.78029615915528,157.60660133729849
2025-01-09,12,8,A,0.0,179.64452061250032,36.86301594328704,36.295490924108215,476.6508297337082,75.517562160102,78.95688720700323
2025-01-09,18,8,A,0.0,2.226290784751004,0.0007597222222222223,0.0017117916954485024,20.79651049193526,0.004356787488760752,0.024665846641654336
2025-01-10,0,9,F,0.07,160.94557779505362,117.85329945987657,118.45877033805475,438.1655921476363,272.25412519755736,266.67005434028437
2025-01-10,6,9,A,0.04,213.53131743033725,86.05041532921813,86.26916070573944,505.6685147007253,152.55364345765898,157.23537791973266
2025-01-10,12,9,A,0.0,170.07434781249137,37.91144264403292,37.56588626016637,453.24990122935776,77.91658510547306,81.10930719353433
2025-01-10,18,9,A,0.0,1.978965446963359,0.0007141975308641975,0.001561897580642879,19.607138135495347,0.0041668370335540515,0.02326390170452077
2025-01-11,0,10,F,0.28,152.22376944776167,126.08644192129631,122.38249910468777,417.8829015896984,283.59288913649436,266.2970772212281
2025-01-11,6,10,A,0.05,202.0085070185817,90.17023592592594,90.91483845377874,482.2639366927848,162.53352925111943,168.3412644849191
2025-01-11,12,10,A,0.0,160.90000087439714,41.17985594907407,41.058769852509066,432.60707712527324,83.5529344178564,88.00028658175795
2025-01-11,18,10,A,0.0,1.781104529593054,0.0006716666666666667,0.0014413351486096543,18.60096448160442,0.003990829766129122,0.022078409433410846
2025-01-12,0,11,F,0.32,143.41848437482665,122.44656260521887,117.89572197191679,399.88679309737694,275.64508996131667,259.27208055948466
2025-01-12,6,11,A,0.07,190.355072626752,91.2502955667789,91.14074249873545,461.49710404261924,163.87304031288446,167.75367947638924
2025-01-12,12,11,A,0.0,150.92636785693819,41.52999158249158,42.08192395262336,413.7061511067751,83.22938131802754,88.91973767066226
2025-01-12,18,11,A,0.0,1.6192190238672255,0.0006303030303030303,0.0013433925540945906,17.735323767362615,0.003825241789413415,0.02105958535514417
2025-01-13,0,12,F,0.44,136.1301471842869,121.56570478395062,114.74773173341126,384.290366284195,271.80528820622857,261.8070295341489
2025-01-13,6,12,F,0.1,180.70973992684608,99.57619611625515,97.1424230567843,443.4995450042645,182.42031336760903,178.81279622840663
